target;type;state;attack_type;date;description;url;target_website;website_certificate;certificate_vendor;type_of_certificate;website_quality (high medium low);month;year
Maritime Transportation Security Act (MTSA) Regulated Facility;Safety;Washington DC;"Phishing, Ransomware";12/30/2019;"ZDNETDecember 30th, 2019United States Coast Guard facility was victim of ransomware hitUnknowing employee clicked on fraudulent link sent by bad actorEncrypted files and cargo transfer controls affected in cyberattackRead More";https://www.zdnet.com/article/us-coast-guard-discloses-ryuk-ransomware-infection-at-maritime-facility/;https://www.mtsa.nl/werken-bij-mtsa/;Y;R3;sha256;med;12;2019
Hackers Hit D.C. Police;Safety;Washington DC;Ransomware;1/27/2017;"Washington PostJanuary 27th, 2017Allegedly took place 8 days before Presidential Inauguration Infected 70% of storage devices that record data from D.C. police surveillance cameras Forced major citywide reinstallation efforts Left police cameras unable to record for 3 days City did not pay ransomRead More";https://www.washingtonpost.com/local/public-safety/hackers-hit-dc-police-closed-circuit-camera-network-city-officials-disclose/2017/01/27/d285a4a4-e4f5-11e6-ba11-63c4b4fb5a63_story.html?noredirect=on&utm_term=.49b9bf2299fa;https://dc.gov/agency/metropolitan-police-department;Y;DigiCert;sha256;med;1;2017
"Ohio Valley Medical Center, Ohio County";Safety;West Virginia;Ransomware;11/28/2018;"ForbesNovember 28th, 2018Two major hospitals fell victim to ransomware Emergency room hindered to walk-in patients only Ambulances placed on yellow diversion Emergency Services diverted to other area hospitals Several systems taken offlineRead More";https://www.forbes.com/sites/leemathews/2018/11/28/ransomware-attack-disrupts-emergency-services-at-ohio-hospital/#ae6c2e722548;NA;NA;NA;sha256;;11;2018
"City of Racine & Racine Police Department, Racine County";Safety;Wisconsin;"Unknown, Ransomware";2/2/2020;"Journal TimesFebruary 2nd, 2020Bad actors used ransomware in cyberattackCity website, email, and payment all taken offlineOfficials unsure whether data was stolenRead More";https://journaltimes.com/news/local/ransomware-infects-city-of-racine-computer-systems/article_507e90f0-0ac5-5951-9891-81a277e0e2d1.html;https://www.racinecounty.com/departments/sheriff-s-office ;Y;R3;sha256;low;2;2020
"City of Oshkosh, Oshkosh Police Department, & Oshkosh Fire Department, Winnebago County";Safety;Wisconsin;"Unknown, Malware";1/28/2020;"WbayJanuary 28th, 2020Website, email and phone services impacted after cyberattackEmergency services remained unaffectedCity's access to tax information and online bill payment taken offlineRead More";"https://www.wbay.com/content/news/City-of-Oshkosh-computer-system-hit-by-virus-567362611.html,";https://www.oshkoshpd.com/;Y;Go Daddy;sha256;low;1;2020
"Kewaskum Police Department, Washington County";Safety;Wisconsin;Data Breach;1/15/2018;"WTMJ-TVJanuary 15th, 2018Hackers suspected to have stolen data of thousands from Kewaskum Police Department databaseHalf of town’s population may have been exposedVictims warned private information compromisedAttack has caused department to increase securityRead More";https://www.tmj4.com/news/local-news/criminals-may-have-stolen-personal-info-from-thousands-after-hacking-kewaskum-pd-computer;https://www.co.washington.wi.us/;Y;Go Daddy;sha256;med;1;2018
"Campbell County Health, Campbell County";Safety;Wyoming;"Hacking, Ransomware";9/19/2019;"WYO Daily September 19th, 2019 County Health hit in ransomware cyberattack that disabled networkHospital was not accepting emergency transports to the hospital due to attack Officials believed no personal data had been accessed Read More";"https://www.wyodaily.com/story/2019/09/19/news/wyoming-news-briefs-september-23/9717.html,";https://www.cchwyo.org/contact-us/;Y;R3;sha256;med;9;2019
"City of Cody, Cody Police Department, & Park County Emails";Safety;Wyoming;Hack;4/16/2018;"Cody EnterpriseApril 16th, 2018Hackers use brute force hacking methods to hijack 3 employee email accounts Emails used as launching points for hackers to deliver malicious software & ransomware Delayed communication from county for many regular government functions Read More";"http://www.codyenterprise.com/news/local/article_7e5be9a6-41b5-11e8-8fd8-13946574ccff.html,";https://www.codywy.gov/91/Police;Y;Sectigo;sha256;med;4;2018
Park County Hit;Safety;Wyoming;Ransomware;2/25/2016;"Powell TribuneFebruary 25th, 2016TeslaCrypt ransomware infected via email or infected website Dispatchers given highest priority but unable to access computers for 5 hours Files backed up every night, county did not pay ransom Read More";http://www.powelltribune.com/news/item/14556-county-hit-by-ransomware;https://parkco.us/88/Sheriffs-Office;Y;Sectigo;sha256;med;2;2016
Escambia County School System;Education;Alabama;Hack;4/6/2016;"Data BreachesApril 6th, 2016Escambia County School System fell victim to cyber hack Payroll accounting system hit with security breach Employee personal data exfiltrated by hackers Individual financial institutions could have been responsible for initial breachRead More";https://www.databreaches.net/escambia-county-school-hit-with-payroll-system-security-breach/;http://www.escambiak12.net/;N;NA;NA;low;4;2016
Morgan County Schools;Education;Alabama;Phishing;10/5/2017;"WHNT News 19October 5th, 2017Malicious phishing email launches aggressive virus on Morgan County School networkTrojan Horse Virus, known as Emotet, leaves school without internet access for a weekTechnicians isolated the infected networkRead More";http://whnt.com/2017/10/05/computer-virus-is-impacting-the-network-at-several-morgan-county-schools;https://www.morgank12.org/;Y;Amazon;sha256;med;10;2017
Montgomery Public Schools;Education;Alabama;Phishing;11/28/2017;"Montgomery AdvertiserNovember 28th, 2017Montgomery Public Schools give scarce details of cyber attack Many suspect a phishing email containing malware was opened The IT department worked to repair the system Paycheck system remained unaffectedRead More";http://www.montgomeryadvertiser.com/story/news/education/2017/11/28/mps-computers-locked-down-paychecks-system-unaffected/902985001/;https://www.mps.k12.al.us/;Y;Amazon;sha256;high;11;2017
Wallace Community College of Selma;Education;Alabama;Phishing;2/24/2018;"Selma Times JournalFebruary 24th, 2018Wallace Community College falls victim to W-2 spear phishing scam Private & financial information of all current & former employees exposed Wallace Community immediately became aware of fraudulent tax requests Notified law enforcement & tax authorities of breachRead More";https://www.selmatimesjournal.com/2018/02/24/cyber-criminals-target-wallace-employees/;https://www.wallace.edu/;Y;R3;sha256;high;2;2018
Scottsboro City Schools;Education;Alabama;Phishing;3/5/2018;"WHNT 19 NewsMarch 5th, 2018Scottsboro City Schools fall victim to W-2 spear phishing scheme Perpetrator poses as Superintendent requesting sensitive financial information Advised employees to further protecting their identities as precautionRead More";https://localtvwhnt.files.wordpress.com/2018/03/20180305125630793.pdf;http://www.scottsboroschools.net/;N;NA;NA;med;3;2018
"University of Alabama Huntsville, Madison County";Education;Alabama;"Phishing, Data Breach";2/18/2021;"WAFF 48February 18th, 2021Several email accounts were compromised following cyberattackEmails did contain personal information including names, dates of birth, Social Security numbersUniversity notified 272 individuals of the breachRead More";https://www.waff.com/2021/02/19/uah-email-accounts-compromised-through-phishing-attempts/;uah.edu;Y;InCommon RSA Server CA;sha256;high;2;2021
"Brindlee Mountain Primary School, Marshall County";Education;Alabama;"Phishing, Other";2/13/2021;"News 19February 13th, 2021Email sent to parents asked them to change their passwordsSchool officials confirmed they had not sent such a messageOriginating email account was suspended following incidentRead More";https://whnt.com/news/northeast-alabama/brindlee-mountain-primary-school-warns-parents-students-of-phishing-email;http://bmps.marshallk12.org/;N;NA;NA;low;2;2021
"Houston County School District, Houston County";Education;Alabama;"Unknown, Malware";7/25/2019;"Dothaneagle July 25th, 2019 School district hit with malware attack, affecting phones and computers Due to cyberattack, Houston County postponed school start date by several days Superintendent stated that they were unsure about extent of damage to servers Read More";https://www.dothaneagle.com/news/education/server-hack-delays-houston-county-schools-start-date/article_6e28738c-af06-11e9-bbf0-13920c892c35.html;https://www.hcboe.us/;Y;Amazon;sha256;med;7;2019
"Lanett City Schools, Chambers County";Education;Alabama;"Unknown, Malware";9/20/2019;"Valley Times September 20th, 2019 Malware attack forced city school district to shut down computer servers Officials discovered suspicious message on workstation Superintendent ordered all servers disconnected until malware could be investigated Read More";https://www.valleytimes-news.com/2019/09/lanett-city-schools-shut-down-school-server-after-perceived-malware-attack;https://www.lanettcityschools.org/;Y;R3;sha256;med;9;2019
"Huntsville City Schools, Madison County";Education;Alabama;"Unknown, Ransomware";11/21/2020;"WAAY 31November 21st, 2020School district was victim of ransomware cyberattackStudent IDs and employee Social Security numbers were compromisedOfficials assured the public that they hadn't acquiesced to the bad actorsRead More";"https://www.waaytv.com/content/news/Huntsville-City-Schools-Social-Security-numbers-parent-emails-possibly-accessed-during-ransomware-attack-573448751.html,";https://www.huntsvillecityschools.org/;Y;Amazon;sha256;med;11;2020
"Madison City Schools, Madison County";Education;Alabama;"Unknown, Ransomware";5/3/2021;"WHNT News 19May 3rd, 2021IT team noticed suspicious activity on school servers April 29thDamaged systems are being rebuilt from backupsInvestigation is ongoingRead More";https://whnt.com/news/madison/cyberattack-on-madison-city-schools;https://www.madisoncity.k12.al.us/district;Y;Amazon;sha256;high;5;2021
University of Alaska;Education;Alaska;Hack;2/22/2018;"KTVAFebruary 22nd, 2018Users of alaska.edu reported inability to access accounts Hackers brute-force emails using personal information found on social media 50 individuals potentially affected in data breach W-2 forms may have been exposed, employees on alert Read More";http://www.ktva.com/story/37569951/ua-data-breach-appears-to-target-tax-info;https://www.alaska.edu/alaska/;Y;InCommon RSA Server CA;sha256;high;2;2018
University of Alaska;Education;Alaska;Phishing;5/31/2017;"KTUUMay 31st,201725,000 members of the University affected following phishing scam & data breach University notified potentially exposed individuals Hackers gained access to several secured email accounts Access then terminated by university System shut down when breach was noticed University of Alaska encourages enrollment in ID theft/loss reimbursement insurance programRead More";http://www.ktuu.com/content/news/University-of-Alaska-thousands-affected-by-data-breach-including-social-security-information-425538543.html;https://www.alaska.edu/alaska/;Y;InCommon RSA Server CA;sha256;high;5;2017
Tuscon Unified School District;Education;Arizona;Hack;11/6/2017;"Tuscon News NowNovember 6th, 2017Tuscon Unified School District websites hackedPro-ISIS propaganda displayed on over 800 website pagesDistrict worked with FBI to determine source of the intrusionRead More";http://www.tucsonnewsnow.com/story/36777331/tusd-among-800-websites-hacked-over-the-weekend;http://tusd1.org/;N;NA;NA;med;11;2017
"Maricopa Community Colleges, Maricopa County";Education;Arizona;"Hacking, Malware";3/20/2021;"KTAR NewsMarch 20th, 2021Maricopa Community Colleges' network is offline and has forced classes to be cancelled through March 29th, 2021The network was forced offline due to suspicious activityAn investigation is ongoingRead More";https://ktar.com/story/4197145/maricopa-community-colleges-cancel-classes-amid-cybersecurity-issue/;https://www.maricopa.edu/;Y;GlobalSign Atlas R3 DV TLS CA H2 2021;sha256;high;3;2021
